实体id,实体名称,预警指数,此次预警时间,最早预警时间,预警理由,集资模式,风险评级,业态类型,所属行业,问题平台,省份,城市,实体类别,实体来源,收益率,收益率大小所属分位点,担保承诺,煽动性广告数量,煽动性广告数所属分位点,负面舆情数量,负面舆情数所属分位点,诉讼记录数量,诉讼记录数所属分位点,经营异常数量,经营异常数所属分位点,赞成数,反对数
3194,玖富叮当,99.5,2018-04-15,2018-01-30,"收益率过高；
经营异常多；
",,不详,网络借贷,,无,广东,珠海,工司,数据库,36%,95%,3,7,55%,16,75%,0,不详,1,85%,0,3
2213,小猪理财,99.0,2018-04-15,2018-01-10,"收益率过高；
存在担保承诺；",直接借贷,小,网络借贷,金融业或类金融业,无,江西,南昌,平台,网贷之家,30%,95%,1,24,65%,4,75%,0,不详,0,不详,2,2
28552,德丰利达（北京）控股有限公司,99.0,2018-04-15,2018-03-11,"收益率过高；
存在担保承诺；",,不详,,,无,北京,朝阳,工司,人工导入,80%,95%,1,7,60%,8,55%,0,不详,0,不详,0,1
1730,齐鲁人贷,98.6429,2018-04-15,2018-01-10,"诉讼记录多；
收益率过高；
经营异常多；
",,不详,网络借贷,,提现困难,山东,青岛,平台,网贷之家,24%,90%,3,0,不详,22,30%,1,80%,1,85%,0,0
672,合泽财富,98.5,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,提现困难,广东,广州,平台,网贷之家,32%,95%,3,0,不详,0,不详,0,不详,0,不详,0,0
261,爱钱进,98.0,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
收益率过高；
",,不详,网络借贷,,无,广东,深圳,平台,网贷之家,70%,95%,3,287,90%,89,95%,0,不详,0,不详,2,0
267,投哪网,98.0,2018-04-15,2018-01-30,"诉讼记录多；
煽动性广告多；
收益率过高；
经营异常多；
",无,不详,网络借贷,无,无,广东,深圳,平台,网贷之家,114%,95%,3,208,90%,15,不详,41,95%,1,85%,0,1
284,易通贷,98.0,2018-04-15,2018-01-30,"煽动性广告多；
收益率过高；
经营异常多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,32%,95%,3,65,80%,4,45%,0,不详,1,85%,0,0
620,恒大金服,98.0,2018-04-15,2018-01-10,"煽动性广告多；
收益率过高；
经营异常多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,81%,95%,3,133,85%,6,30%,0,不详,1,85%,0,0
629,鲤鱼理财,98.0,2018-04-15,2018-01-10,"收益率过高；
",null,小,网络借贷,无,无,上海,上海,平台,网贷之家,1300%,95%,3,2,不详,2,30%,0,不详,0,不详,1,0
905,宝象金融,98.0,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
收益率过高；
",无,小,网络借贷,无,无,上海,上海,平台,网贷之家,40%,95%,3,421,95%,38,85%,0,不详,0,不详,1,0
995,贸金所,98.0,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,上海,,平台,网贷之家,219%,95%,3,6,50%,1,45%,0,不详,0,不详,0,0
1125,雅堂金融,98.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
收益率过高；
",无,大,网络借贷,无,停业,广东,深圳,平台,网贷之家,60%,95%,3,9,85%,216,95%,0,不详,0,不详,1,0
2641,萨飞资本,98.0,2018-04-15,2018-01-10,"煽动性广告多；
收益率过高；
",无,小,,无,无,上海,上海,平台,网贷之家,50%,95%,3,158,90%,2,30%,0,不详,0,不详,1,0
3732,金蛐蛐,98.0,2018-04-15,2018-01-30,"煽动性广告多；
收益率过高；
",无,小,网络借贷,无,无,上海,上海,工司,数据库,50%,95%,3,155,85%,0,不详,0,不详,0,不详,1,0
5500,叮叮理财,98.0,2018-04-15,2018-01-30,"收益率过高；
经营异常多；
",无,不详,网络借贷,无,无,浙江,杭州,工司,数据库,50%,95%,3,0,不详,0,不详,0,不详,1,85%,0,1
25034,私募排排网,98.0,2018-04-15,2018-01-30,"收益率过高；
",无,不详,互联网证券,无,无,广东,深圳,工司,数据库,40%,95%,3,35,75%,1,不详,0,不详,0,不详,0,1
25420,叮当贷,98.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
收益率过高；
",无,不详,网络借贷,无,无,北京,朝阳,工司,数据库,47%,95%,3,7,60%,19,85%,18,90%,0,不详,0,1
26495,多彩投,98.0,2018-04-15,2018-01-30,"收益率过高；
",众筹平台,不详,网络众筹,金融业或类金融业,无,北京,朝阳,工司,数据库,1095%,95%,3,24,70%,2,不详,0,不详,0,不详,1,1
534,冰融贷,97.9286,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,黑龙江,哈尔滨,平台,网贷之家,25%,90%,3,0,不详,0,不详,0,不详,0,不详,0,0
2111,柘家贷,97.6429,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,重庆,重庆,平台,网贷之家,24%,90%,3,0,不详,0,不详,0,不详,0,不详,0,0
4223,富宝,97.5,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
",,不详,第三方支付,,无,江西,鹰潭,工司,数据库,不详,不详,3,235,95%,171,90%,0,不详,0,不详,0,1
17596,吉林国际商品交易中心,97.5,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
",无,大,交易所,无,无,山东,白山,工司,数据库,不详,不详,3,2,20%,76,80%,4,90%,0,不详,1,0
28629,善林（上海）商务咨询有限公司,97.5,2018-04-15,2018-03-11,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,,,,上海,上海,工司,人工导入,不详,不详,3,296,95%,412,95%,5,90%,0,不详,0,0
1159,微易贷,97.3714,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,湖北,武汉,平台,网贷之家,25%,85%,3,5,不详,5,不详,0,不详,0,不详,0,0
27291,丰盛金,97.2143,2018-04-15,2018-03-18,"收益率过高；
",,不详,网络借贷,,提现困难,江西,宜春,平台,网贷之家,23%,90%,3,0,不详,0,不详,0,不详,0,不详,0,0
18483,黄鹤金服,97.0714,2018-04-15,2018-03-18,"诉讼记录多；
收益率过高；
经营异常多；
",,不详,网络借贷,,终止运营,湖北,武汉,平台,网贷之家,22%,90%,3,0,不详,0,不详,7,90%,1,85%,0,0
923,凤凰金融,96.8571,2018-04-15,2018-01-10,"负面舆情多；
收益率过高；
",,小,互联网基金销售,,警方介入,北京,朝阳,平台,网贷之家,25%,90%,3,21,70%,91,95%,0,不详,0,不详,2,1
15494,蛙宝,96.8571,2018-04-15,2018-01-30,"负面舆情多；
收益率过高；
经营异常多；
",无,大,非法集资,无,无,江苏,南京,工司,数据库,25%,90%,3,11,70%,24,95%,0,不详,1,85%,1,0
18929,兴汇利,96.8571,2018-04-15,2018-01-30,"收益率过高；
","无,众筹",大,网络众筹,金融业或类金融业,无,湖北,荆门,工司,数据库,25%,90%,3,2,20%,0,不详,0,不详,0,不详,1,1
945,晋商贷,96.82,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,山西,太原,平台,网贷之家,23%,90%,3,35,70%,0,不详,0,不详,0,不详,0,0
746,好优贷,96.7857,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,提现困难,江苏,南京,平台,网贷之家,21%,90%,3,3,20%,0,不详,0,不详,0,不详,0,0
2412,中国融信贷,96.6143,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,贵州,贵阳,平台,网贷之家,20%,90%,3,2,不详,5,不详,0,不详,0,不详,0,0
327,云信贷,96.5,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,提现困难,河南,郑州,平台,网贷之家,20%,85%,3,3,30%,0,不详,0,不详,0,不详,0,0
14443,甬天投资,96.5,2018-04-15,2018-01-30,"收益率过高；
",,不详,网络借贷,,提现困难,上海,上海,工司,数据库,20%,85%,3,0,不详,0,不详,0,不详,0,不详,0,0
1920,拍拍贷,96.2857,2018-04-15,2018-01-10,"负面舆情多；
诉讼记录多；
煽动性广告多；
收益率过高；
",无,小,网络借贷,无,无,上海,上海,平台,网贷之家,24%,90%,3,180,90%,88,95%,12,90%,0,不详,1,0
25692,拍拍贷（粤）,96.2857,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
收益率过高；
",,不详,网络借贷,,,上海,上海,工司,数据库,24%,90%,3,187,90%,172,95%,12,90%,0,不详,0,0
1018,隆泰贷,96.08,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,浙江,宁波,平台,网贷之家,20%,85%,3,0,不详,0,不详,0,不详,0,不详,0,0
63,酷宝盒,96.0,2018-04-15,2018-03-18,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,网络借贷,,,江苏,南京,平台,网贷之家,11%,30%,3,32,80%,113,95%,2,85%,0,不详,0,0
101,钱罐子,96.0,2018-04-15,2018-03-25,"煽动性广告多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,不详,不详,3,177,95%,69,65%,0,不详,0,不详,0,0
147,金豆包,96.0,2018-04-15,2018-01-10,"负面舆情多；
",,不详,网络借贷,,提现困难,北京,北京,平台,网贷之家,10%,25%,3,7,55%,78,95%,0,不详,0,不详,0,0
271,翼龙贷,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
经营异常多；
",,不详,网络借贷,,无,北京,北京,平台,网贷之家,11%,30%,3,30,90%,142,95%,39,95%,1,85%,1,1
296,九斗鱼,96.0,2018-04-15,2018-04-08,暂无,,不详,网络借贷,,,北京,北京,平台,网贷之家,11%,30%,3,109,70%,129,不详,0,不详,0,不详,0,0
353,君来投,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,不详,不详,3,2,85%,105,95%,0,不详,0,不详,0,0
659,财富中国,96.0,2018-04-15,2018-01-30,"诉讼记录多；
煽动性广告多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,17%,75%,3,42,80%,98,不详,6,90%,0,不详,0,0
688,理财咖,96.0,2018-04-15,2018-03-18,"负面舆情多；
",,不详,网络借贷,,,江苏,苏州,平台,网贷之家,不详,不详,3,2,40%,61,95%,0,不详,0,不详,0,0
726,龙贷,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,11%,30%,3,51,90%,152,95%,0,不详,0,不详,0,0
895,可溯金融,96.0,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
",,不详,互联网资产管理,,,浙江,杭州,平台,网贷之家,10%,25%,3,225,90%,91,95%,0,不详,0,不详,1,0
1061,胖毛在线,96.0,2018-04-15,2018-03-18,"负面舆情多；
",,不详,互联网资产管理,,,福建,厦门,平台,网贷之家,不详,不详,3,5,75%,269,95%,0,不详,0,不详,0,0
1195,花果金融,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
经营异常多；
",,不详,网络借贷,,,北京,朝阳,平台,网贷之家,8%,30%,3,67,90%,51,90%,0,不详,1,85%,0,0
1877,点牛金融,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,互联网资产管理,,,上海,上海,平台,网贷之家,10%,25%,3,275,95%,76,95%,0,不详,0,不详,0,0
1929,小牛在线,96.0,2018-04-15,2018-03-18,"诉讼记录多；
煽动性广告多；
",,不详,互联网资产管理,,,广东,深圳,平台,网贷之家,10%,25%,3,205,85%,184,30%,24,95%,0,不详,0,0
2094,贷你盈,96.0,2018-04-15,2018-04-15,"诉讼记录多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,10%,20%,3,28,不详,70,75%,1,80%,0,不详,0,0
2139,今金贷,96.0,2018-04-15,2018-01-10,"负面舆情多；
",,不详,网络借贷,,,甘肃,兰州,平台,网贷之家,13%,60%,3,10,75%,51,90%,0,不详,0,不详,0,0
2815,包公有财,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,安徽,合肥,平台,网贷之家,10%,不详,3,229,85%,52,90%,0,不详,0,不详,0,0
2820,利创投,96.0,2018-04-15,2018-03-18,"负面舆情多；
煽动性广告多；
",,不详,互联网资产管理,,,广东,深圳,平台,网贷之家,不详,不详,3,43,80%,68,95%,0,不详,0,不详,0,0
13971,海华,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",无,不详,互联网资产管理,无,无,北京,朝阳,工司,数据库,不详,不详,3,212,90%,83,90%,3,85%,0,不详,0,1
14637,善林金融,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,互联网资产管理,,,上海,上海,工司,数据库,7%,不详,3,80,80%,205,95%,6,90%,0,不详,0,0
15808,捷信公司,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
",,不详,网络借贷,,,天津,天津,工司,数据库,不详,不详,3,20,75%,136,95%,100,95%,0,不详,0,0
18926,泛亚有色金属交易所,96.0,2018-04-15,2018-01-30,"负面舆情多；
存在担保承诺；",,不详,交易所,,,贵州,贵阳,工司,数据库,不详,不详,1,1,35%,195,90%,0,不详,0,不详,0,0
19522,壹佰金,96.0,2018-04-15,2018-03-18,"煽动性广告多；
",,不详,互联网资产管理,,,辽宁,大连,工司,数据库,不详,不详,3,169,80%,44,30%,0,不详,0,不详,0,0
24643,大连再生资源交易所,96.0,2018-04-15,2018-01-30,"负面舆情多；
",无,大,交易所,无,无,上海,上海,工司,数据库,不详,不详,3,0,45%,87,95%,0,不详,0,不详,1,0
25517,合盘贷,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,网络借贷,,,上海,上海,工司,数据库,不详,不详,3,244,90%,160,90%,1,80%,0,不详,0,0
25549,e速贷,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
经营异常多；
",,不详,网络借贷,,,广东,惠州,平台,网贷之家,14%,60%,3,4,80%,145,95%,1,80%,1,85%,0,0
25829,智付,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,大,第三方支付,,无,广东,深圳,工司,数据库,不详,不详,3,47,90%,55,90%,8,90%,0,不详,1,0
28547,云联惠,96.0,2018-04-15,2018-03-11,"负面舆情多；
诉讼记录多；
煽动性广告多；
经营异常多；
",,不详,互联网+X,,警方介入,广东,广州,工司,人工导入,不详,不详,3,464,95%,95,95%,34,95%,1,85%,0,0
28771,善林（上海）信息科技有限公司,95.5,2018-04-15,2018-03-11,"负面舆情多；
煽动性广告多；
",,不详,,,,上海,上海,工司,人工导入,不详,不详,3,285,95%,451,95%,0,不详,0,不详,0,0
